Fund,Org,Object,Account Description,Original Budget,Transfers Adjustments,Revised Budget,YTD Actual,Encumbrances,Available Budget,Percent Used
100,5100,5010,Office Supplies,10500.00,0.00,10500.00,8718.24,0.00,1781.76,83.0
100,5100,5110,Salaries and Wages,265000.00,0.00,265000.00,220800.00,0.00,44200.00,83.3
100,5100,5230,Utilities,7000.00,0.00,7000.00,5760.00,0.00,1240.00,82.3
100,5100,5240,Motor Fuel,6000.00,0.00,6000.00,4726.18,0.00,1273.82,78.8
100,5100,5310,Professional Services,54000.00,5000.00,59000.00,44800.00,0.00,14200.00,75.9
100,5100,5410,Road Materials,60500.00,0.00,60500.00,28300.00,22000.00,10200.00,83.1
100,5200,5010,Office Supplies,5500.00,0.00,5500.00,4280.00,0.00,1220.00,77.8
100,5200,5110,Salaries and Wages,140500.00,0.00,140500.00,117000.00,0.00,23500.00,83.3
100,5200,5230,Utilities,7500.00,0.00,7500.00,6150.00,0.00,1350.00,82.0
100,5200,5310,Professional Services,22500.00,0.00,22500.00,18735.00,0.00,3765.00,83.3
200,6100,5010,Office Supplies,3000.00,0.00,3000.00,2200.00,0.00,800.00,73.3
200,6100,5110,Salaries and Wages,204500.00,0.00,204500.00,170400.00,0.00,34100.00,83.3
200,6100,5310,Professional Services,10000.00,0.00,10000.00,7930.00,0.00,2070.00,79.3
200,6100,5410,Road Materials,3000.00,0.00,3000.00,2300.00,0.00,700.00,76.7
300,7100,5110,Salaries and Wages,163000.00,0.00,163000.00,135600.00,0.00,27400.00,83.2
300,7100,5310,Professional Services,3000.00,0.00,3000.00,2400.00,0.00,600.00,80.0
300,7100,5410,Road Materials,6500.00,0.00,6500.00,5225.00,0.00,1275.00,80.4
300,7100,6100,Capital Outlay,86500.00,0.00,86500.00,48000.00,24000.00,14500.00,83.2
